"RelativePath","AssetRoot","Extension","SourceBytes","OfficialBytes","Content"
"Sound\Cr\wngtwl\roar.wav","Sound",".wav","24888","24888","Identical"
"Sound\Cr\wngtwl\scrm.wav","Sound",".wav","56856","56856","Identical"
"Sound\Cr\wolf\moan.wav","Sound",".wav","161300","161300","Identical"
"Sound\Cr\wolf\roar.wav","Sound",".wav","92694","92694","Identical"
"Sound\Cr\wolf\scrm.wav","Sound",".wav","38074","38074","Identical"
"Sound\Cr\wosk\moan.wav","Sound",".wav","161300","161300","Identical"
"Sound\Cr\wosk\roar.wav","Sound",".wav","92694","92694","Identical"
"Sound\Cr\wosk\scrm.wav","Sound",".wav","38090","38090","Identical"
"Sound\Fx\_Thunder0.wav","Sound",".wav","219180","219180","Identical"
"Sound\Fx\_Thunder1.wav","Sound",".wav","177196","177196","Identical"
"Sound\Fx\bearsniff.wav","Sound",".wav","22614","22614","Identical"
"Sound\Fx\bm_amb00.wav","Sound",".wav","442520","442520","Identical"
"Sound\Fx\bm_amb01.wav","Sound",".wav","531398","531398","Identical"
"Sound\Fx\bm_amb02.wav","Sound",".wav","528542","528542","Identical"
"Sound\Fx\bm_large_fire.wav","Sound",".wav","444396","444396","Identical"
"Sound\Fx\BM_nord_attack.wav","Sound",".wav","280758","280758","Identical"
"Sound\Fx\BM_Nord_attack_F.wav","Sound",".wav","191746","191746","Identical"
"Sound\Fx\bm_pipe00.wav","Sound",".wav","31844","31844","Identical"
"Sound\Fx\bm_pipe01.wav","Sound",".wav","40092","40092","Identical"
"Sound\Fx\bm_pipe02.wav","Sound",".wav","22548","22548","Identical"
"Sound\Fx\bm_sun00.wav","Sound",".wav","318592","318592","Identical"
"Sound\Fx\bm_wind00.wav","Sound",".wav","441984","441984","Identical"
"Sound\Fx\BMstone.wav","Sound",".wav","775652","775652","Identical"
"Sound\Fx\BMWind.wav","Sound",".wav","591744","591744","Identical"
"Sound\Fx\boarsniff.wav","Sound",".wav","17220","17220","Identical"
"Sound\Fx\body fall heavy.wav","Sound",".wav","49970","49970","Identical"
"Sound\Fx\body hit.wav","Sound",".wav","19612","19612","Identical"
"Sound\Fx\BODYFAL1.wav","Sound",".wav","34592","34592","Identical"
"Sound\Fx\bodyfallHVY.wav","Sound",".wav","25156","25156","Identical"
"Sound\Fx\bodyfallMED.wav","Sound",".wav","17804","17804","Identical"
"Sound\Fx\bodyfallSML.wav","Sound",".wav","23500","23500","Identical"
"Sound\Fx\boo.wav","Sound",".wav","109110","109110","Identical"
"Sound\Fx\BOOKCLS1.wav","Sound",".wav","14626","14434","Different"
"Sound\Fx\BOOKCLS2.wav","Sound",".wav","14626","10538","Different"
"Sound\Fx\BOOKOPN1.wav","Sound",".wav","14626","46286","Different"
"Sound\Fx\BOOKPAG1.wav","Sound",".wav","14626","41184","Different"
"Sound\Fx\BOOKPAG2.wav","Sound",".wav","14626","26050","Different"
"Sound\Fx\boom1.wav","Sound",".wav","127368","127368","Identical"
"Sound\Fx\boom2.wav","Sound",".wav","220696","220696","Identical"
"Sound\Fx\boom3.wav","Sound",".wav","219160","219160","Identical"
"Sound\Fx\boom4.wav","Sound",".wav","245272","245272","Identical"
"Sound\Fx\chest_cls.wav","Sound",".wav","51116","51116","Identical"
"Sound\Fx\chest_opn.wav","Sound",".wav","31910","31910","Identical"
"Sound\Fx\criticalDMG.wav","Sound",".wav","24858","24858","Identical"
"Sound\Fx\disarm.wav","Sound",".wav","23982","23982","Identical"
"Sound\Fx\DOORM1.wav","Sound",".wav","58986","58986","Identical"
"Sound\Fx\DOORW1.wav","Sound",".wav","40848","40848","Identical"
"Sound\Fx\drown.wav","Sound",".wav","37036","37036","Identical"
"Sound\Fx\drown_DMG.wav","Sound",".wav","37036","37036","Identical"
"Sound\Fx\eating.wav","Sound",".wav","22280","22280","Identical"
"Sound\Fx\enghum.wav","Sound",".wav","77830","77830","Identical"
"Sound\Fx\envrn\bell1.wav","Sound",".wav","168434","168434","Identical"
"Sound\Fx\envrn\bell2.wav","Sound",".wav","178446","178446","Identical"
"Sound\Fx\envrn\bell3.wav","Sound",".wav","189054","189054","Identical"
"Sound\Fx\envrn\bell4.wav","Sound",".wav","200292","200292","Identical"
"Sound\Fx\envrn\bell5.wav","Sound",".wav","212198","212198","Identical"
"Sound\Fx\envrn\bell6.wav","Sound",".wav","224812","224812","Identical"
"Sound\Fx\envrn\blackoutin.wav","Sound",".wav","168534","168534","Identical"
"Sound\Fx\envrn\blight.wav","Sound",".wav","195512","195512","Identical"
"Sound\Fx\envrn\boat_crk.wav","Sound",".wav","27634","27634","Identical"
